y,x1,x2,x3,x4,x5
0.197872903923902,800,0.0,0.3048,71.3,0.00266337
0.052917145890549,1000,0.0,0.3048,71.3,0.00266337
0.161633964415563,1250,0.0,0.3048,71.3,0.00266337
0.399361407590262,1600,0.0,0.3048,71.3,0.00266337
0.380517159045927,2000,0.0,0.3048,71.3,0.00266337
0.10655077636289,2500,0.0,0.3048,71.3,0.00266337
0.052917145890549,3150,0.0,0.3048,71.3,0.00266337
-0.257288176300824,4000,0.0,0.3048,71.3,0.00266337
-0.512410310439525,5000,0.0,0.3048,71.3,0.00266337
-0.767532444578226,6300,0.0,0.3048,71.3,0.00266337
-1.11397670627794,8000,0.0,0.3048,71.3,0.00266337
-1.36909884041664,10000,0.0,0.3048,71.3,0.00266337
-1.8257094782217,12500,0.0,0.3048,71.3,0.00266337
-2.3359537464991,16000,0.0,0.3048,71.3,0.00266337
0.229038391901073,500,0.0,0.3048,55.5,0.00283081
0.414581762183764,630,0.0,0.3048,55.5,0.00283081
0.471114507816774,800,0.0,0.3048,55.5,0.00283081
0.308764058819416,1000,0.0,0.3048,55.5,0.00283081
0.181202991750067,1250,0.0,0.3048,55.5,0.00283081
0.311663173980085,1600,0.0,0.3048,55.5,0.00283081
0.258029543507744,2000,0.0,0.3048,55.5,0.00283081
-0.105809409155972,2500,0.0,0.3048,55.5,0.00283081
-0.231920918644987,3150,0.0,0.3048,55.5,0.00283081
-0.54067668325603,4000,0.0,0.3048,55.5,0.00283081
-0.758110320306059,5000,0.0,0.3048,55.5,0.00283081
-0.994388205900423,6300,0.0,0.3048,55.5,0.00283081
-1.21182184295045,8000,0.0,0.3048,55.5,0.00283081
-1.70467142026385,10000,0.0,0.3048,55.5,0.00283081
-1.99458293633056,12500,0.0,0.3048,55.5,0.00283081
-0.972209974921319,200,0.0,0.3048,39.6,0.00310138
-0.79971262286163,250,0.0,0.3048,39.6,0.00310138
-0.298165700066231,315,0.0,0.3048,39.6,0.00310138
-0.0039055112585246,400,0.0,0.3048,39.6,0.00310138
0.307749368513184,500,0.0,0.3048,39.6,0.00310138
0.549825484428881,630,0.0,0.3048,39.6,0.00310138
0.617954690704557,800,0.0,0.3048,39.6,0.00310138
0.444007781064535,1000,0.0,0.3048,39.6,0.00310138
0.0961139617844883,1250,0.0,0.3048,39.6,0.00310138
-0.114071887363871,1600,0.0,0.3048,39.6,0.00310138
-0.16625596025588,2000,0.0,0.3048,39.6,0.00310138
-0.498204646152257,2500,0.0,0.3048,39.6,0.00310138
-0.654756864828277,3150,0.0,0.3048,39.6,0.00310138
-0.812758641084632,4000,0.0,0.3048,39.6,0.00310138
-1.02149493265266,5000,0.0,0.3048,39.6,0.00310138
