y,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17
-0.298596831093045,139441,2,12,4,3,0,2752,5091,178,109,159,3078,1640,119,4,79,17
-0.130915978662307,139441,2,12,3,10,0,10460,19057,1457,1361,1674,11710,6112,1108,5,130,29
-0.350997097477651,139441,3,12,3,3,0,2413,4373,177,113,154,2812,1503,132,0,66,14
4.09516550525615,139441,2,12,2,10,1,50128,87991,2211,790,1119,61027,32048,1386,58,1572,147
0.469067071441429,139441,2,12,2,3,0,7244,13594,671,410,580,6228,3200,396,19,325,49
-0.0732756856392406,139441,2,12,1,9,0,10472,20849,1191,1073,1389,16034,7852,1016,1,152,33
0.170385553049176,139441,3,12,1,3,1,11692,19479,481,265,364,15432,9328,379,3,249,27
0.327586352202993,139441,3,12,7,9,1,13720,24137,537,232,305,19728,11056,422,0,325,14
-0.0575556057238589,139441,2,12,7,3,0,11844,22538,1530,1407,1692,15220,7912,1250,0,161,31
-0.188556271685373,139441,3,12,6,10,0,4694,8668,280,183,250,4309,2324,199,3,113,26
0.0996451934299583,139441,2,12,5,10,0,21744,42334,4258,4100,4540,37849,18952,3798,0,233,19
-0.282876751177664,139441,2,12,5,10,0,3112,5590,208,127,145,3887,2174,165,0,88,18
-0.288116777816124,139441,2,12,5,10,0,2847,5133,193,115,133,3779,2072,152,0,90,14
-0.16235613849307,139441,2,12,5,3,0,2549,4896,249,134,168,3631,1917,183,5,137,10
1.00878981520287,138414,2,12,4,5,1,22784,39941,887,337,417,34415,19312,684,2,577,20
-0.277636724539203,138414,2,12,3,10,0,10060,19680,1264,1209,1425,17272,8548,1162,4,86,18
-0.419117443777638,138414,3,12,3,3,0,1722,2981,163,123,148,1868,1050,123,2,40,12
1.30747133359512,138414,1,12,2,12,1,53264,111785,1706,1103,1655,92512,39776,1307,15,678,20
-0.364097164073802,138414,3,12,2,3,0,3930,7509,130,86,112,5009,2410,101,4,54,17
-0.450557603608402,138414,3,12,1,11,0,1591,2825,121,88,111,2116,1161,100,0,34,8
-0.348377084158421,138414,2,12,1,3,0,2848,5066,200,142,184,3561,1963,157,3,66,12
-0.560598163016074,138414,1,12,7,10,0,1384,2467,15,15,20,2196,1172,15,0,0,0
-0.513437923269929,138414,1,12,7,10,0,3454,6853,118,104,130,6282,3100,106,0,16,2
-0.309076884369966,138414,3,12,7,3,0,2723,4888,176,118,143,2964,1621,143,0,72,24
-0.243576551389209,138414,2,12,6,10,0,8488,15294,1341,1270,1489,9684,5244,995,3,99,19
-0.282876751177664,138458,2,12,6,3,0,8284,15104,1521,1462,1711,10266,5372,1200,0,88,18
0.733688416683688,138458,2,12,5,11,0,19552,34143,2806,2531,3420,17748,9824,1779,10,412,72
-0.25405660466613,138458,3,12,5,3,0,2478,4306,212,124,149,2612,1443,166,0,100,17
1.06905012154516,138895,2,12,5,3,0,9560,18264,973,559,885,9217,4748,621,36,523,63
-0.104715845470004,138895,1,12,4,11,1,36208,61262,1141,1068,1728,30131,14112,559,18,143,13
-0.136156005300767,138895,2,12,4,2,0,4940,9390,385,306,501,5860,2930,273,33,107,22
-0.458417643566093,138895,2,12,3,10,0,1683,2929,192,171,221,1585,858,131,1,27,11
-0.0261154458930954,138895,3,12,3,3,0,5280,9578,368,237,345,4480,2422,268,2,155,47
-0.233096498112288,138895,3,12,2,9,0,3002,5318,268,185,247,3039,1676,194,4,98,23
-0.364097164073802,138895,1,12,2,3,0,3766,7149,298,260,431,5782,2938,244,2,56,17
-0.0392155124892469,138895,2,12,1,11,0,4512,7808,423,284,431,5183,2954,316,6,172,21
-0.264536657943052,138895,3,12,1,3,0,2690,4628,252,168,226,3052,1727,199,0,96,17
-0.298596831093045,138895,1,12,7,10,1,19800,28663,479,424,805,5187,2752,248,16,76,8
0.144185419856873,138895,2,12,7,9,0,17576,33058,5352,5202,6547,23135,11792,4104,11,227,31
-0.406017377181487,138895,1,12,7,3,0,3290,6085,306,284,402,4986,2584,247,1,44,14
0.125845326622261,138895,2,12,6,11,0,13280,24198,2055,1912,2720,17627,9344,1716,7,216,39
-0.0077753526584834,138895,1,12,6,3,1,18480,28438,517,366,460,12078,6752,319,6,187,18
-0.466277683523784,138353,1,12,5,10,0,7268,13989,2087,2079,12074,13544,7096,1975,7,26,3
-0.440077550331481,138353,1,12,5,3,1,2645,4270,134,109,170,2330,1377,101,7,29,10
-0.408637390500717,138353,1,12,4,11,0,4284,8387,355,316,513,7283,3634,291,0,47,11
-0.374577217350724,138353,1,12,4,3,1,7968,13023,206,158,223,6734,3492,138,4,57,10
8.46872992074162e-05,138353,1,12,3,11,0,16576,30612,3572,3464,4802,24363,12888,3014,4,174,36
-0.476757736800705,138353,1,12,3,2,0,1925,3481,97,83,126,2307,1180,77,6,18,8
-0.319556937646888,138353,1,12,2,11,0,3786,7329,338,283,450,6336,3216,280,0,77,15
-0.52391797654685,138353,1,12,2,2,0,1536,3094,84,76,99,2903,1407,76,1,12,1
-0.408637390500717,138353,2,11,1,9,0,1728,3155,108,65,95,2313,1232,77,1,48,9
0.322346325564533,138329,1,11,1,3,1,25248,40125,726,467,863,16132,8608,451,24,285,28
0.0734450602376554,138329,1,11,7,9,0,4894,8899,355,181,264,4914,2712,246,9,202,31
-0.332657004243039,138329,1,11,7,3,0,2935,5439,237,182,401,3901,2044,201,4,64,19
-0.34313705751996,138329,1,11,6,10,0,2425,4462,260,213,433,3017,1510,175,4,66,13
-0.348377084158421,138329,1,11,6,2,1,16416,31950,459,411,539,21436,9568,363,2,65,14
0.0158047672145891,138329,1,11,5,11,0,5812,10465,343,204,301,4976,2764,240,2,164,54
-0.421737457096869,138329,1,11,5,3,0,2545,4846,165,131,167,3675,1901,134,0,40,13
-0.324796964285348,138329,1,11,4,10,0,2257,4372,230,173,327,3188,1557,168,3,76,11
-0.141396031939228,138329,1,11,4,3,1,27072,84885,421,304,487,35637,9712,263,4,139,17
-0.238336524750749,138185,1,11,3,11,1,10940,27951,417,335,591,15066,5100,319,8,101,14
