y,x1,x2,x3,x4,x5,x6,x7,x8
-0.34244252907925,0.98,514.5,294.0,110.25,7.0,2.0,0.0,0.0
-0.34244252907925,0.98,514.5,294.0,110.25,7.0,3.0,0.0,0.0
-0.34244252907925,0.98,514.5,294.0,110.25,7.0,4.0,0.0,0.0
-0.34244252907925,0.98,514.5,294.0,110.25,7.0,5.0,0.0,0.0
0.38811321250471,0.9,563.5,318.5,122.5,7.0,2.0,0.0,0.0
0.0832770037862231,0.9,563.5,318.5,122.5,7.0,3.0,0.0,0.0
0.0601514982972346,0.9,563.5,318.5,122.5,7.0,4.0,0.0,0.0
0.526866245438642,0.9,563.5,318.5,122.5,7.0,5.0,0.0,0.0
0.28509959714467,0.86,588.0,294.0,147.0,7.0,2.0,0.0,0.0
-0.275168331293101,0.86,588.0,294.0,147.0,7.0,3.0,0.0,0.0
-0.115392111550998,0.86,588.0,294.0,147.0,7.0,4.0,0.0,0.0
0.345015679547958,0.86,588.0,294.0,147.0,7.0,5.0,0.0,0.0
-0.0859596500195573,0.82,612.5,318.5,147.0,7.0,2.0,0.0,0.0
-0.328777457653938,0.82,612.5,318.5,147.0,7.0,3.0,0.0,0.0
-0.360312237866195,0.82,612.5,318.5,147.0,7.0,4.0,0.0,0.0
0.0359748334678374,0.82,612.5,318.5,147.0,7.0,5.0,0.0,0.0
1.38145878919081,0.79,637.0,343.0,147.0,7.0,2.0,0.0,0.0
0.702409855286874,0.79,637.0,343.0,147.0,7.0,3.0,0.0,0.0
0.666670437712982,0.79,637.0,343.0,147.0,7.0,4.0,0.0,0.0
1.56120703640068,0.79,637.0,343.0,147.0,7.0,5.0,0.0,0.0
0.546838272906405,0.76,661.5,416.5,122.5,7.0,2.0,0.0,0.0
0.53527552016191,0.76,661.5,416.5,122.5,7.0,3.0,0.0,0.0
0.546838272906405,0.76,661.5,416.5,122.5,7.0,4.0,0.0,0.0
0.50584305863047,0.76,661.5,416.5,122.5,7.0,5.0,0.0,0.0
-1.43880172112539,0.74,686.0,245.0,220.5,3.5,2.0,0.0,0.0
-1.40831810025354,0.74,686.0,245.0,220.5,3.5,3.0,0.0,0.0
